,ntraj,x,y,z,subvol,time,boxface,temp,sal,density,density10,ntrajc,binnedx_i,binnedy_i,bin_depth_i
1437648,630399,1437.0,299.75,36.5,7657383949.31,-31104000.0,2,7.15,34.45,26.97,0.62,359161042,1437,300,37
1437649,630400,1437.0,299.25,37.5,8543222798.99,-31104000.0,2,6.67,34.42,27.0,0.66,359161043,1437,299,38
1437650,630401,1437.0,299.75,37.5,8543222798.99,-31104000.0,2,6.67,34.42,27.0,0.66,359161044,1437,300,38
1437651,630402,1437.0,299.25,38.5,9518115478.65,-31104000.0,2,6.14,34.38,27.04,0.7,359161045,1437,299,39
1437652,630403,1437.0,299.75,38.5,9518115478.65,-31104000.0,2,6.14,34.38,27.04,0.7,359161046,1437,300,39
1437653,630404,1437.0,299.16,39.5,7055321072.76,-31104000.0,2,5.59,34.35,27.09,0.74,359161047,1437,299,40
1437654,630405,1437.0,299.5,39.5,7055321072.76,-31104000.0,2,5.59,34.35,27.09,0.74,359161048,1437,300,40
1437655,630406,1437.0,299.83,39.5,7055321072.76,-31104000.0,2,5.59,34.35,27.09,0.74,359161049,1437,300,40
1437656,630407,1437.0,299.16,40.5,7824399855.89,-31104000.0,2,5.02,34.32,27.13,0.79,359161050,1437,299,41
1437657,630408,1437.0,299.5,40.5,7824399855.89,-31104000.0,2,5.02,34.32,27.13,0.79,359161051,1437,300,41
1437658,630409,1437.0,299.83,40.5,7824399855.89,-31104000.0,2,5.02,34.32,27.13,0.79,359161052,1437,300,41
1437659,630410,1437.0,299.16,41.5,8650178331.09,-31104000.0,2,4.44,34.29,27.18,0.83,359161053,1437,299,42
1437660,630411,1437.0,299.5,41.5,8650178331.09,-31104000.0,2,4.44,34.29,27.18,0.83,359161054,1437,300,42
1437661,630412,1437.0,299.83,41.5,8650178331.09,-31104000.0,2,4.44,34.29,27.18,0.83,359161055,1437,300,42
1437662,630413,1437.0,299.16,42.5,9528380949.59,-31104000.0,2,3.87,34.27,27.22,0.88,359161056,1437,299,43
1437663,630414,1437.0,299.5,42.5,9528380949.59,-31104000.0,2,3.87,34.27,27.22,0.88,359161057,1437,300,43
1437664,630415,1437.0,299.83,42.5,9528380949.59,-31104000.0,2,3.87,34.27,27.22,0.88,359161058,1437,300,43
1437665,630416,1437.0,299.25,43.75,7839649796.9,-31104000.0,2,3.35,34.26,27.27,0.92,359161059,1437,299,44
1437666,630417,1437.0,299.25,43.25,7839649796.9,-31104000.0,2,3.35,34.26,27.27,0.92,359161060,1437,299,43
1437667,630418,1437.0,299.75,43.75,7839649796.9,-31104000.0,2,3.35,34.26,27.27,0.92,359161061,1437,300,44
1437668,630419,1437.0,299.75,43.25,7839649796.9,-31104000.0,2,3.35,34.26,27.27,0.92,359161062,1437,300,43
1437669,630420,1437.0,299.25,44.75,8561766108.67,-31104000.0,2,2.91,34.27,27.31,0.97,359161063,1437,299,45
1437670,630421,1437.0,299.25,44.25,8561766108.67,-31104000.0,2,2.91,34.27,27.31,0.97,359161064,1437,299,44
1437671,630422,1437.0,299.75,44.75,8561766108.67,-31104000.0,2,2.91,34.27,27.31,0.97,359161065,1437,300,45
1437672,630423,1437.0,299.75,44.25,8561766108.67,-31104000.0,2,2.91,34.27,27.31,0.97,359161066,1437,300,44
1437673,630424,1437.0,299.25,45.75,9305472114.92,-31104000.0,2,2.59,34.29,27.36,1.01,359161067,1437,299,46
1437674,630425,1437.0,299.25,45.25,9305472114.92,-31104000.0,2,2.59,34.29,27.36,1.01,359161068,1437,299,45
1437675,630426,1437.0,299.75,45.75,9305472114.92,-31104000.0,2,2.59,34.29,27.36,1.01,359161069,1437,300,46
1437676,630427,1437.0,299.75,45.25,9305472114.92,-31104000.0,2,2.59,34.29,27.36,1.01,359161070,1437,300,45
1437677,630428,1437.0,299.1,46.5,8050119702.47,-31104000.0,2,2.4,34.33,27.4,1.06,359161071,1437,299,47
1437678,630429,1437.0,299.3,46.5,8050119702.47,-31104000.0,2,2.4,34.33,27.4,1.06,359161072,1437,299,47
1437679,630430,1437.0,299.5,46.5,8050119702.47,-31104000.0,2,2.4,34.33,27.4,1.06,359161073,1437,300,47
1437680,630431,1437.0,299.7,46.5,8050119702.47,-31104000.0,2,2.4,34.33,27.4,1.06,359161074,1437,300,47
1437681,630432,1437.0,299.89,46.5,8050119702.47,-31104000.0,2,2.4,34.33,27.4,1.06,359161075,1437,300,47
1437682,630433,1437.0,299.1,47.5,8659654304.41,-31104000.0,2,2.29,34.38,27.45,1.11,359161076,1437,299,48
1437683,630434,1437.0,299.3,47.5,8659654304.41,-31104000.0,2,2.29,34.38,27.45,1.11,359161077,1437,299,48
1437684,630435,1437.0,299.5,47.5,8659654304.41,-31104000.0,2,2.29,34.38,27.45,1.11,359161078,1437,300,48
1437685,630436,1437.0,299.7,47.5,8659654304.41,-31104000.0,2,2.29,34.38,27.45,1.11,359161079,1437,300,48
1437686,630437,1437.0,299.89,47.5,8659654304.41,-31104000.0,2,2.29,34.38,27.45,1.11,359161080,1437,300,48
1437687,630438,1437.0,299.1,48.5,9265817914.17,-31104000.0,2,2.25,34.44,27.5,1.16,359161081,1437,299,49
1437688,630439,1437.0,299.3,48.5,9265817914.17,-31104000.0,2,2.25,34.44,27.5,1.16,359161082,1437,299,49
1437689,630440,1437.0,299.5,48.5,9265817914.17,-31104000.0,2,2.25,34.44,27.5,1.16,359161083,1437,300,49
1437690,630441,1437.0,299.7,48.5,9265817914.17,-31104000.0,2,2.25,34.44,27.5,1.16,359161084,1437,300,49
1437691,630442,1437.0,299.89,48.5,9265817914.17,-31104000.0,2,2.25,34.44,27.5,1.16,359161085,1437,300,49
1437692,630443,1437.0,299.1,49.5,9861603696.6,-31104000.0,2,2.24,34.51,27.56,1.22,359161086,1437,299,50
1437693,630444,1437.0,299.3,49.5,9861603696.6,-31104000.0,2,2.24,34.51,27.56,1.22,359161087,1437,299,50
1437694,630445,1437.0,299.5,49.5,9861603696.6,-31104000.0,2,2.24,34.51,27.56,1.22,359161088,1437,300,50
1437695,630446,1437.0,299.7,49.5,9861603696.6,-31104000.0,2,2.24,34.51,27.56,1.22,359161089,1437,300,50
1437696,630447,1437.0,299.89,49.5,9861603696.6,-31104000.0,2,2.24,34.51,27.56,1.22,359161090,1437,300,50
1437697,630448,1437.0,299.16,50.75,8700400889.6,-31104000.0,2,2.24,34.58,27.61,1.27,359161091,1437,299,51
1437698,630449,1437.0,299.16,50.25,8700400889.6,-31104000.0,2,2.24,34.58,27.61,1.27,359161092,1437,299,50
1437699,630450,1437.0,299.5,50.75,8700400889.6,-31104000.0,2,2.24,34.58,27.61,1.27,359161093,1437,300,51
1437700,630451,1437.0,299.5,50.25,8700400889.6,-31104000.0,2,2.24,34.58,27.61,1.27,359161094,1437,300,50
1437701,630452,1437.0,299.83,50.75,8700400889.6,-31104000.0,2,2.24,34.58,27.61,1.27,359161095,1437,300,51
1437702,630453,1437.0,299.83,50.25,8700400889.6,-31104000.0,2,2.24,34.58,27.61,1.27,359161096,1437,300,50
1437703,630454,1437.0,299.16,51.75,9163887790.91,-31104000.0,2,2.25,34.64,27.66,1.32,359161097,1437,299,52
1437704,630455,1437.0,299.16,51.25,9163887790.91,-31104000.0,2,2.25,34.64,27.66,1.32,359161098,1437,299,51
1437705,630456,1437.0,299.5,51.75,9163887790.91,-31104000.0,2,2.25,34.64,27.66,1.32,359161099,1437,300,52
