,ntraj,x,y,z,subvol,time,boxface,temp,sal,density,density10,ntrajc
21,22,3.0,119.5,8.5,218871660.27,0.0,2,-0.87,33.72,26.98,0.06,22
887739,22,6.0,120.5,8.5,220653400.75,0.0,2,-1.22,33.81,27.07,0.05,887740
21,22,8.0,132.5,8.5,243097900.22,0.0,2,-1.55,33.72,27.01,0.04,1759744
854136,22,11.0,132.5,8.5,243097900.22,0.0,2,-1.5,33.66,26.96,0.06,2613859
1694233,22,15.0,132.5,8.5,243097900.22,0.0,2,-1.4,33.6,26.91,0.07,3453956
21,22,16.0,133.5,8.5,245059335.18,0.0,2,-1.27,33.45,26.79,0.09,4282900
824513,22,19.0,136.5,8.5,251030404.71,0.0,2,-1.51,33.47,26.8,0.07,5107392
1634866,22,22.0,137.5,8.5,253049900.4,0.0,2,-1.67,33.49,26.83,0.06,5917745
21,22,26.0,136.5,8.5,251030404.71,0.0,2,-1.32,33.22,26.6,0.09,6744084
858267,22,30.0,135.5,8.5,249025531.04,0.0,2,-1.51,33.02,26.44,0.11,7602330
21,22,32.0,141.5,8.5,261275914.29,0.0,2,-1.84,32.92,26.37,0.02,8488624
903648,22,35.0,149.5,8.5,278455108.53,0.0,2,-1.72,33.78,27.06,0.03,9392251
21,22,38.0,152.5,8.5,285153954.7,0.0,2,-1.72,33.8,27.08,0.03,10311625
938283,22,42.0,148.5,8.5,276253627.46,0.0,2,-1.67,33.7,27.0,0.05,11249887
21,22,43.0,149.5,8.5,278455108.53,0.0,2,-1.66,33.72,27.01,0.05,12213184
987805,22,46.0,150.5,8.5,280672260.58,0.0,2,-1.64,33.68,26.98,0.06,13200968
21,22,50.0,151.5,8.5,282905165.93,0.0,2,-1.64,33.62,26.93,0.05,14211403
1027873,22,53.0,152.5,8.5,285153954.7,0.0,2,-1.63,33.66,26.96,0.05,15239255
21,22,55.0,154.5,8.5,289699420.58,0.0,2,-1.67,33.7,27.0,0.05,16252833
944721,22,60.0,153.5,8.5,287418662.58,0.0,2,-1.64,33.62,26.93,0.06,17197533
21,22,62.0,152.5,8.5,285153954.7,0.0,2,-1.61,33.58,26.89,0.06,18094026
917853,22,64.0,152.5,8.5,285153954.7,0.0,2,-1.67,33.6,26.91,0.05,19011858
21,22,68.0,150.5,8.5,280672260.58,0.0,2,-1.7,33.58,26.9,0.05,19992388
1018950,22,72.0,151.5,8.5,282905165.93,0.0,2,-1.7,33.58,26.9,0.05,21011317
21,22,73.0,155.5,8.5,291996216.39,0.0,2,-1.71,33.53,26.86,0.05,22041641
1033890,22,77.0,155.5,8.5,291996216.39,0.0,2,-1.75,33.56,26.88,0.03,23075510
21,22,80.0,155.5,8.5,291996216.39,0.0,2,-1.74,33.62,26.93,0.03,24103287
1017105,22,84.0,152.5,8.5,285153954.7,0.0,2,-1.59,33.11,26.51,0.06,25120371
21,22,85.0,152.5,8.5,285153954.7,0.0,2,-1.46,32.95,26.39,0.06,26123371
994559,22,89.0,161.5,8.5,306119537.25,0.0,2,-1.78,33.62,26.94,0.01,27117909
21,22,92.0,163.5,8.5,310959600.96,0.0,2,-1.79,33.6,26.92,0.01,28099042
977804,22,94.0,165.5,8.5,315866950.92,0.0,2,-1.79,33.6,26.92,0.01,29076825
21,22,99.0,166.5,8.5,318346009.67,0.0,2,-1.77,33.51,26.84,0.01,30072355
1008491,22,102.0,168.5,8.5,323355272.3,0.0,2,-1.76,33.48,26.82,0.01,31080825
21,22,103.0,171.5,8.5,330998318.35,0.0,2,-1.73,33.4,26.75,0.02,32059445
973512,22,107.0,173.5,8.5,336180620.33,0.0,2,-1.68,33.35,26.72,0.03,33032936
21,22,111.0,158.5,9.5,340877625.28,0.0,2,-1.21,33.47,26.8,0.01,34019598
1003934,22,114.0,172.5,8.5,333580735.07,0.0,2,-1.72,33.47,26.81,0.02,35023511
21,22,117.0,170.5,8.5,328433335.05,0.0,2,-1.76,33.61,26.93,0.01,36049460
1059416,22,119.0,166.5,8.5,318346009.67,0.0,2,-1.69,33.54,26.86,0.01,37108855
21,22,123.0,167.5,8.5,320842071.42,0.0,2,-1.74,33.65,26.95,0.01,38210043
1131171,22,126.0,156.5,9.5,335547822.74,0.0,2,-1.6,33.56,26.88,0.02,39341193
21,22,129.0,159.5,9.5,343570617.96,0.0,2,-1.71,33.68,26.98,0.01,40487216
1146508,22,132.0,160.5,9.5,346282318.2,0.0,2,-1.72,33.71,27.0,0.01,41633703
21,22,133.0,164.5,9.5,357319131.48,0.0,2,-1.72,33.71,27.0,0.02,42782850
1169953,22,137.0,167.5,9.5,365798444.82,0.0,2,-1.67,33.73,27.02,0.01,43952782
21,22,140.0,163.5,9.5,354531243.15,0.0,2,-1.74,33.74,27.03,0.01,45123882
1169213,22,142.0,147.5,9.5,312470144.45,0.0,2,-1.32,33.48,26.81,0.01,46293074
21,22,146.0,140.5,9.5,295515722.55,0.0,2,-0.97,33.37,26.71,0.02,47457349
1150478,22,150.0,144.5,9.5,305099576.74,0.0,2,-1.01,32.92,26.35,0.01,48607806
21,22,153.0,148.5,9.5,314962270.55,0.0,2,-1.69,33.58,26.9,0.01,49728445
1084509,22,154.0,159.5,9.5,343570617.96,0.0,2,-1.69,33.7,27.0,0.01,50812933
21,22,159.0,155.5,9.5,332910710.17,0.0,2,-1.72,33.66,26.97,0.02,51857450
992962,22,162.0,154.5,9.5,330292087.46,0.0,2,-1.68,33.6,26.92,0.02,52850391
21,22,165.0,153.5,9.5,327691749.78,0.0,2,-1.72,33.7,27.0,0.02,53804320
885116,22,167.0,148.5,9.5,314962270.55,0.0,2,-1.63,33.63,26.94,0.02,54689415
1665591,22,171.0,147.5,9.5,312470144.45,0.0,2,-1.53,33.45,26.79,0.02,55469890
21,22,173.0,166.5,8.5,318346009.67,0.0,2,-1.7,33.62,26.93,0.01,56220600
743537,22,176.0,166.5,8.5,318346009.67,0.0,2,-1.7,33.56,26.88,0.02,56964116
1486807,22,179.0,170.5,8.5,328433335.05,0.0,2,-1.56,33.63,26.93,0.01,57707386
21,22,181.0,152.5,9.5,325109711.16,0.0,2,-1.71,33.73,27.02,0.02,58456482
758718,22,185.0,155.5,9.5,332910710.17,0.0,2,-1.7,33.75,27.03,0.01,59215179
1533506,22,188.0,157.5,9.5,338203410.85,0.0,2,-1.66,33.74,27.03,0.01,59989967
21,22,190.0,154.5,9.5,330292087.46,0.0,2,-1.7,33.73,27.02,0.02,60781774
811758,22,193.0,151.5,9.5,322545822.22,0.0,2,-1.61,33.7,26.99,0.01,61593511
1633687,22,198.0,152.5,9.5,325109711.16,0.0,2,-1.61,33.71,27.0,0.02,62415440
21,22,201.0,151.5,9.5,322545822.22,0.0,2,-1.75,33.69,26.99,0.02,63235011
824547,22,202.0,154.5,9.5,330292087.46,0.0,2,-1.7,33.68,26.98,0.02,64059537
1655317,22,207.0,155.5,9.5,332910710.17,0.0,2,-1.65,33.69,26.99,0.02,64890307
21,22,208.0,155.5,9.5,332910710.17,0.0,2,-1.63,33.69,26.98,0.02,65725211
843427,22,212.0,156.5,9.5,335547822.74,0.0,2,-1.52,33.64,26.94,0.02,66568617
1698638,22,214.0,151.5,10.5,369292083.71,0.0,2,-1.54,33.7,26.99,0.02,67423828
21,22,218.0,140.5,10.5,338344537.21,0.0,2,-0.21,33.51,26.79,0.02,68287508
860756,22,221.0,137.5,10.5,330320320.22,0.0,2,-0.09,33.49,26.77,0.01,69148243
1723815,22,223.0,134.5,10.5,322468993.14,0.0,2,-0.11,33.56,26.82,0.01,70011302
