,year,atlantic,indian,pacific
0,1983,-6.226761,4.7938766,11.295787
1,1984,-4.340035,2.9635463,7.2141542
2,1985,-5.2927437,3.0316777,9.478932
3,1986,-4.8797464,2.2818367,7.4515376
4,1987,-4.7885127,-3.5436444,-2.9236405
5,1988,-0.64959663,3.2764993,3.489798
6,1989,-6.1781387,6.0336437,14.019112
7,1990,-2.8664083,0.5922053,0.8735009
8,1991,-2.9621928,-1.0046211,-1.9450307
9,1992,1.117079,1.8161086,1.6215947
10,1993,-0.9550674,5.324778,10.62165
11,1994,-3.3483894,3.1925402,6.088866
12,1995,0.833375,2.225735,2.421767
13,1996,2.587691,2.4901643,1.186491
14,1997,0.7477426,-5.853043,-8.649854
15,1998,-1.7710794,-1.7224395,-1.7370359
16,1999,3.4120262,1.378692,1.0055485
17,2000,5.467168,-1.5200961,-5.946832
18,2001,3.0652435,-4.630131,-9.805839
19,2002,7.3177915,-2.881508,-12.980648
20,2003,-2.7966495,-0.2514359,-0.9091088
21,2004,-2.6463957,-1.0454208,0.059724335
22,2005,-0.29062468,-4.573442,-9.472352
23,2006,2.142805,-5.576273,-7.195671
24,2007,4.8018975,-3.3435125,-6.859437
25,2008,10.055368,2.0366821,1.185449
26,2009,2.4296324,0.6400951,-0.2198216
27,2010,-1.8725858,-2.8278103,-1.3414643
28,2011,4.429199,-2.6685083,-5.591948
29,2012,3.4579039,-0.63620335,-2.4352326
