Unnamed: 0,year,atlantic,indian,pacific
0,1983,99.78143,132.48912,151.85992
1,1984,101.66816,130.65881,147.77829
2,1985,100.71545,130.72694,150.04306
3,1986,101.12845,129.97707,148.01566
4,1987,101.219696,124.15159,137.64049
5,1988,105.35861,130.97176,144.05394
6,1989,99.83005,133.72888,154.58327
7,1990,103.14178,128.28743,141.43764
8,1991,103.046005,126.6906,138.61914
9,1992,107.12528,129.51137,142.18573
10,1993,105.05312,133.02002,151.1858
11,1994,102.6598,130.88779,146.65298
12,1995,106.84157,129.92099,142.9859
13,1996,108.59588,130.18541,141.75063
14,1997,106.755936,121.84219,131.91429
15,1998,104.23712,125.972786,138.82709
16,1999,109.42021,129.07394,141.56969
17,2000,111.475365,126.17517,134.61731
18,2001,109.07344,123.06511,130.7583
19,2002,113.32599,124.81372,127.5835
20,2003,103.21155,127.443825,139.65504
21,2004,103.3618,126.64982,140.62387
22,2005,105.717575,123.121796,131.09181
23,2006,108.151,122.118965,133.36847
24,2007,110.81009,124.35171,133.70471
25,2008,116.06357,129.73195,141.74959
26,2009,108.437836,128.33533,140.34431
27,2010,104.13561,124.867424,139.22267
28,2011,110.437386,125.02674,134.97217
29,2012,109.466095,127.059044,138.1289
