,year_o,month_o,subvol_o
0,1984,8,0.3096977172869586
1,1985,8,0.24372947004589007
2,1986,8,0.2614697112997582
3,1987,8,0.2406547610197582
4,1988,8,0.25890874893749
5,1989,8,0.2995801479448055
6,1990,8,0.2279790248859166
7,1991,8,0.1910356436088999
8,1992,8,0.2297822098292573
9,1993,8,0.2683574268974449
10,1994,8,0.2436554879260368
11,1995,8,0.2032820801606409
12,1996,8,0.22152059434439
13,1997,8,0.20109642859628243
14,1998,8,0.2060955903981171
15,1999,8,0.23384457167609718
16,2000,8,0.20426615029135817
17,2001,8,0.19063199899085748
18,2002,7,0.19068339879959395
19,2003,8,0.2326548200043958
20,2004,8,0.24578643381169593
21,2005,8,0.19316678651108743
22,2006,7,0.20481129517734087
23,2007,8,0.21281120449955238
24,2008,8,0.25036496014564796
25,2009,8,0.2103359006015827
26,2010,8,0.26996030704617807
27,2011,8,0.19635028498789622
28,2012,8,0.2523933503848292
