,year,atlantic,indian,pacific
0,1983,4.040587e-09,4.8143702e-09,5.990259e-09
1,1984,4.1464796e-09,-3.1962308e-09,4.546247e-10
2,1985,1.8896143e-08,1.36482035e-08,1.8393639e-08
3,1986,6.457249e-09,7.2210686e-09,1.0591775e-08
4,1987,-2.805994e-09,-6.955128e-09,-1.3622412e-08
5,1988,-6.4864163e-09,-1.9166055e-08,-3.0008284e-08
6,1989,-3.1359588e-09,8.005987e-09,1.8961074e-08
7,1990,-2.7203912e-08,-1.0466242e-08,-1.1030125e-09
8,1991,1.595921e-09,3.0827134e-09,7.49873e-09
9,1992,5.596953e-09,-5.88813e-09,-9.270343e-09
10,1993,1.680508e-08,1.7648249e-08,1.1675416e-08
11,1994,2.7049334e-09,-2.7810636e-09,-9.29594e-09
12,1995,5.587989e-09,4.2764268e-09,1.5493727e-09
13,1996,-1.8420002e-08,-7.678587e-09,-1.5753856e-09
14,1997,1.2071027e-08,1.9235193e-09,-6.007276e-09
15,1998,1.761825e-08,7.571681e-09,-6.503407e-09
16,1999,6.967851e-09,1.1404647e-08,1.975426e-08
17,2000,1.500763e-08,-1.0444166e-08,-1.777226e-08
18,2001,-1.6046392e-10,4.9218785e-09,1.3428105e-08
19,2002,9.613752e-09,-7.905729e-09,-1.849805e-08
20,2003,-1.1007782e-08,-4.899447e-09,-8.0202095e-10
21,2004,4.4244572e-09,1.2174288e-08,2.0313859e-08
22,2005,-1.8460702e-09,2.1346602e-09,8.2577495e-10
23,2006,1.2698868e-09,2.7433538e-09,-2.2018974e-10
24,2007,-1.6512995e-08,-2.3004192e-08,-2.951676e-08
25,2008,-4.648987e-11,1.4747405e-08,2.2635648e-08
26,2009,-1.3298353e-08,-4.938647e-09,-1.1191381e-09
27,2010,-1.2194086e-08,6.962224e-09,1.5830295e-08
28,2011,-1.4561703e-08,-1.8085252e-08,-2.8050017e-08
29,2012,-5.1239484e-09,2.1282067e-09,5.461695e-09
