,year,volume_shallowing,volume_deepening
0,1983,1.7106727045310008e+16,1.7444143197463552e+16
1,1984,1.6927350006425424e+16,1.7115305207129692e+16
2,1985,1.6584772047305542e+16,1.6983389079299908e+16
3,1986,1.6475972143642884e+16,1.6769837759345864e+16
4,1987,1.5826046427091686e+16,1.6044011266610288e+16
5,1988,1.7004982746045508e+16,1.731326197670819e+16
6,1989,1.7030477949191342e+16,1.7309174981174834e+16
7,1990,1.626974544658519e+16,1.6575964527667004e+16
8,1991,1.65063730868083e+16,1.6718877597479162e+16
9,1992,1.6776154504945612e+16,1.6993538078881796e+16
10,1993,1.6773158534159316e+16,1.7248527645060114e+16
11,1994,1.6681763166990932e+16,1.6965763086137296e+16
12,1995,1.651103195047657e+16,1.6808693581071232e+16
13,1996,1.695819246249978e+16,1.7187187298383908e+16
14,1997,1.525851150532092e+16,1.5591416883640336e+16
15,1998,1.6057381975675552e+16,1.6496583928514392e+16
16,1999,1.650558250912964e+16,1.6902053785020642e+16
17,2000,1.607858448888286e+16,1.6283217329999302e+16
18,2001,1.5647900545272524e+16,1.6112168999235998e+16
19,2002,1.6170700932040254e+16,1.6473039579725748e+16
20,2003,1.6639247725009856e+16,1.6858457114960052e+16
21,2004,1.6258355249781788e+16,1.650963816348642e+16
22,2005,1.593066187336213e+16,1.6144195157410296e+16
23,2006,1.5597273136307874e+16,1.5966137577519012e+16
24,2007,1.6127115255097352e+16,1.6461543789909234e+16
25,2008,1.6740121924725276e+16,1.6936336755342628e+16
26,2009,1.6499093270028644e+16,1.6793061818306416e+16
27,2010,1.6001911707311322e+16,1.6340146843626016e+16
28,2011,1.607822397282546e+16,1.660024808583252e+16
